"Data";"A25 - Delft3D";"A25 - Model A";"A25 - Model B";"A35 - Delft3D";"A35 - Model A";"A35 - Model B";"B12 - Delft3D";"B12 - Model A";"B12 - Model B";"T25 - Delft3D";"T25 - Model A";"T25 - Model B";"T35 - Delft3D";"T35 - Model A";"T35 - Model B"
2012-02-01;0,1298467;0,0474562972123012;0,0958502123023507;0,146819;0,073620517796735;0,148699706380998;0,0628228;0,0269179224119689;0,0543010043524505;0,1048713;0,0410498316782526;0,082899231160123;0,09970574;0,0532167326084626;0,107506781649191
2012-02-02;0,1301914;0,0472607529235201;0,0962110891671005;0,14708;0,0733171634973496;0,149259565550605;0,0628486;0,0268070067631991;0,0545059868581505;0,1051021;0,0408806853138787;0,0832113440566311;0,09978275;0,0529974523708447;0,107911552962104
2012-02-03;0,1295685;0,0469725576640322;0,0965426719806166;0,147201;0,0728700766937766;0,149773978917255;0,0628145;0,0266435380964448;0,0546944381827262;0,10458245;0,0406313955970783;0,0834981206331244;0,09975411;0,0526742748166714;0,108283467343238
2012-02-04;0,1311764;0,0466680767529001;0,0969543756991718;0,146896;0,072397725422111;0,150412690005335;0,0626313;0,0264708319642088;0,0549283799077817;0,1057864;0,0403680187454184;0,0838541922513506;0,09949534;0,0523328347932408;0,108745246292692
2012-02-05;0,1314206;0,0465362387302227;0,0973998287697887;0,146682;0,0721932007527846;0,151103757843274;0,0624407;0,026396051463541;0,055181305531007;0,1059185;0,0402539784819;0,0842394528063921;0,09922674;0,0521849937434205;0,109244878296429
2012-02-06;0,130594;0,0465286462456633;0,0979426342810365;0,146814;0,0721814222812757;0,151945855882024;0,0623986;0,0263917448926054;0,0554892862988832;0,1052349;0,0402474109612232;0,0847089124543603;0,09920529;0,0521764796526809;0,109853702198579
2012-02-07;0,1286664;0,0464476742982586;0,0984131306165553;0,147042;0,072055807830821;0,152675775896445;0,0623892;0,026345816391525;0,0557563525916815;0,1037007;0,0401773699970757;0,0851158331568732;0,09923626;0,052085679006045;0,110381423331298
2012-02-08;0,1266169;0,0463657930340575;0,098862056807753;0,146605;0,0719287827272531;0,153372231694844;0,0621392;0,0262993721123412;0,0560111688692789;0,1020745;0,0401065424713203;0,0855040977884083;0,0988475;0,0519938586660985;0,110884950431541
2012-02-09;0,1251708;0,0462270056065535;0,0992742827703734;0,145702;0,0717134772172001;0,154011752425853;0,0617454;0,026220649805192;0,0562451865657188;0,10092764;0,0399864909529178;0,0858606210843133;0,0982019;0,0518382246648646;0,111347314443531
2012-02-10;0,1240274;0,0462745025775658;0,0996916766125131;0,14465;0,0717871608336032;0,154659290312566;0,0612965;0,0262475907983924;0,0564819687015709;0,10001342;0,0400275759675484;0,0862216142693291;0,09747479;0,0518914870084218;0,111815475130728
2012-02-11;0,1234739;0,0463461856555937;0,10012373268198;0,144136;0,0718983651548773;0,15532957480815;0,0610447;0,0262882505136663;0,0567270092825406;0,09955386;0,0400895820333411;0,0865952879831493;0,09708869;0,0519718712655183;0,112300081252651
2012-02-12;0,1229005;0,0460885952868421;0,100347476486023;0,143534;0,0714987567268935;0,155676688623195;0,0607665;0,0261421413992298;0,0568541881519938;0,09908176;0,0398667656338254;0,0867887964647429;0,09665453;0,0516830135462773;0,112551040927935
2012-02-13;0,1225115;0,0456788674378521;0,100883131239931;0,143063;0,0708631324120961;0,156507693775037;0,0605508;0,0259097376278231;0,057158310171285;0,09875993;0,0395123498824302;0,0872520690211829;0,09631031;0,0512235512902063;0,113151845420137
2012-02-14;0,1221959;0,0453292749520163;0,101547079999761;0,142666;0,0703207980679323;0,157537730643144;0,0603626;0,025711443534893;0,0575350588261932;0,09849542;0,0392099513907118;0,0878263012505876;0,09600428;0,0508315238684834;0,113896546713415
2012-02-15;0,1216861;0,0450734251332082;0,102165395092271;0,142161;0,0699238898124358;0,15849696995777;0,0601226;0,0255663216864482;0,0578857850649283;0,09807431;0,0389886405718335;0,0883610625592087;0,09562455;0,0505446179741081;0,114590062875605
2012-02-16;0,1209943;0,0446621415297472;0,102686090915101;0,140568;0,0692858520044575;0,159304766213585;0,0595082;0,025333035467809;0,058181316897527;0,0975244;0,0386328790884086;0,0888113937840734;0,09461159;0,0500834111198583;0,115174087801933
2012-02-17;0,1244616;0,0444902528079663;0,103313536680706;0,144315;0,0690191953657334;0,160278174022693;0,0609194;0,0252355376108714;0,0585371733229872;0,10021646;0,0384841948565789;0,0893540525315486;0,09701622;0,0498906578566928;0,115877846578901
2012-02-18;0,1252615;0,0443686108673183;0,104002231459107;0,145495;0,0688304882144728;0,16134660408411;0,0613209;0,0251665404806117;0,0589277675140356;0,1008175;0,0383789742329328;0,0899496853201916;0,09771557;0,0497542505301692;0,116650303981425
2012-02-19;0,1252292;0,0445317928966871;0,104808114294972;0,146058;0,0690836378743274;0,16259683598182;0,0614799;0,0252590997712349;0,059384536118135;0,10076905;0,0385201271511332;0,0906466739266923;0,09799888;0,0499372402477314;0,117554200948121
2012-02-20;0,1257645;0,0445273878651543;0,105561706879973;0,145227;0,0690768042037419;0,16376594787307;0,0611111;0,0252566011713864;0,0598118734190485;0,1011513;0,0385163167863643;0,0912984384371932;0,09738393;0,049932300515831;0,118399448884858
2012-02-21;0,1288157;0,0460342943575409;0,107095815343627;0,146457;0,071414517905771;0,166145930700693;0,0614918;0,0261113410990022;0,0606804118458346;0,1034681;0,0398197951759784;0,0926252553788041;0,09809849;0,0516221213527274;0,120120135783937
2012-02-22;0,1273541;0,0459874412567937;0,107900097815391;0,147203;0,0713418331465291;0,167393677462919;0,0616509;0,0260847653186578;0,061136566035377;0,10228489;0,0397792671109532;0,0933208581985657;0,09838932;0,0515695810349865;0,121022235611915
2012-02-23;0,127659;0,0458788265332218;0,108553354155751;0,147522;0,0711733355464331;0,168407128099858;0,0617253;0,0260231574209993;0,0615070458759942;0,1024972;0,0396853150670239;0,0938858447028499;0,09855338;0,0514477822213157;0,121754944123095
2012-02-24;0,1278142;0,0455473111538735;0,109049030288598;0,148541;0,0706590448132978;0,169176110500691;0,0620198;0,0258351169335641;0,0617883550204158;0,1025753;0,0393985533236852;0,0943145424406434;0,09911117;0,0510760261776562;0,122310906434435
2012-02-25;0,128518;0,0456102919346232;0,10970359877514;0,148817;0,0707567489740184;0,170191593311571;0,0620361;0,0258708405755095;0,0621593806404158;0,10307471;0,0394530318776519;0,0948806615076341;0,0991923;0,0511466518177823;0,123045084261753
2012-02-26;0,1280329;0,0465304059728373;0,110796692057986;0,148593;0,0721841522040329;0,1718873896847;0,0619047;0,0263927430362095;0,0627783161625073;0,10267543;0,0402489331302194;0,0958260525840691;0,09899513;0,0521784529825862;0,124271117126703
2012-02-27;0,1258983;0,0463748418901228;0,111435835916205;0,145774;0,071942820515874;0,172878939616252;0,0608568;0,0263045047590033;0,0631408338391968;0,1010244;0,04011436975748;0,0963788289836722;0,09718966;0,0520040059085495;0,124987991643179
2012-02-28;0,1306861;0,0462731246352025;0,111998903396959;0,145583;0,0717850231862047;0,173752465068479;0,0607697;0,02624680920885;0,0634601313232352;0,1047072;0,0400263840434962;0,0968658057958112;0,097091;0,0518899418058964;0,125619537060766
