;Data;Cenario;Delft3D;Model A;Model B
1313;19/09/2012;A25;NA;0,057630511;0,164102559
1318;20/09/2012;A25;NA;0,058171792;0,164510923
1323;21/09/2012;A25;NA;0,058191184;0,164590899
1328;22/09/2012;A25;NA;0,05878237;0,164942794
1333;23/09/2012;A25;NA;0,059304411;0,165311016
1338;24/09/2012;A25;NA;0,059396665;0,165509583
1343;25/09/2012;A25;NA;0,059822841;0,165841102
1348;26/09/2012;A25;NA;0,060199062;0,166288488
1353;27/09/2012;A25;NA;0,060498631;0,166594087
1358;28/09/2012;A25;NA;0,060612168;0,166843406
1363;29/09/2012;A25;NA;0,06068703;0,166951067
1368;30/09/2012;A25;NA;0,060447062;0,166708559
1373;01/10/2012;A25;NA;0,060376571;0,166602444
1378;02/10/2012;A25;NA;0,060562057;0,166579738
1383;03/10/2012;A25;NA;0,06061482;0,166501633
1388;04/10/2012;A25;NA;0,060501349;0,166356849
1393;05/10/2012;A25;NA;0,060527615;0,16624639
1398;06/10/2012;A25;NA;0,060789071;0,166553752
1403;07/10/2012;A25;NA;0,061059848;0,166854289
1408;08/10/2012;A25;NA;0,061104832;0,166698774
1413;09/10/2012;A25;NA;0,061192531;0,166538388
1418;10/10/2012;A25;NA;0,061351215;0,166395033
1423;11/10/2012;A25;NA;0,061424556;0,166207557
1428;12/10/2012;A25;NA;0,06129322;0,165927355
1433;13/10/2012;A25;NA;0,06112661;0,165477798
1438;14/10/2012;A25;NA;0,060958693;0,164924921
1443;15/10/2012;A25;NA;0,060810964;0,164577397
1448;16/10/2012;A25;NA;0,060805575;0,164211197
1453;17/10/2012;A25;NA;0,061269492;0,164056162
1458;18/10/2012;A25;NA;0,06169516;0,164397886
1463;19/10/2012;A25;NA;0,06180711;0,164721828
1468;20/10/2012;A25;NA;0,062105798;0,165087244
1473;21/10/2012;A25;NA;0,062487335;0,165465169
1478;22/10/2012;A25;NA;0,062602777;0,16573595
1483;23/10/2012;A25;NA;0,063157281;0,166188936
1488;24/10/2012;A25;NA;0,063365558;0,166404324
1493;25/10/2012;A25;NA;0,063493807;0,166631168
1498;26/10/2012;A25;NA;0,063469363;0,166608674
1503;27/10/2012;A25;NA;0,063378585;0,166584974
1508;28/10/2012;A25;NA;0,063092509;0,166479657
1513;29/10/2012;A25;NA;0,063150198;0,166560888
